Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Side,City,County,Zipcode,Timezone,Wind_Direction,Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight
3,12/19/2016 8:22,12/19/2016 14:22,43.5489,-96.7807,43.53758,-96.78067,R,Sioux Falls,Minnehaha,57107,US/Central,SSW,Mostly Cloudy,F,F,F,F,T,F,F,F,F,F,F,F,F,D,D,D
3,12/19/2016 8:22,12/19/2016 14:22,43.53808,-96.78022,43.54892,-96.78027,R,Sioux Falls,Minnehaha,57106,US/Central,SSW,Mostly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,1/10/2017 12:13,1/10/2017 18:13,44.09971,-103.17227,44.10473,-103.22576,R,Rapid City,Pennington,57703,US/Mountain,NNE,Cloudy,F,F,F,F,T,F,F,F,F,F,F,F,F,D,D,D
4,1/11/2017 23:58,1/12/2017 5:58,43.61673,-96.77063,43.59534,-96.77142,R,Sioux Falls,Minnehaha,57107,US/Central,NNE,Overcast,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
4,11/18/2016 11:26,11/18/2016 17:26,42.788447,-96.792312,42.84836,-96.79586,R,Burbank,Union,57010,US/Central,NW,Overcast,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
4,8/3/2016 8:23,8/3/2016 14:23,43.60912,-96.94414,43.6091,-96.95579,R,Hartford,Minnehaha,57033,US/Central,SSE,Partly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
4,8/3/2016 8:23,8/3/2016 14:23,43.60884,-96.950329,43.60887,-96.94423,R,Hartford,Minnehaha,57033,US/Central,SSE,Partly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,8/31/2016 18:05,9/1/2016 0:05,44.10343,-102.71237,44.10343,-102.70565,R,New Underwood,Pennington,57761,US/Mountain,SSE,Clear,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
4,7/15/2016 10:33,7/15/2016 16:33,43.83625,-101.65565,43.83623,-101.66718,R,Kadoka,Jackson,57543,US/Mountain,WSW,Clear,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
3,4/13/2016 15:39,4/13/2016 21:39,43.5278,-96.702,43.51466,-96.71459,R,Sioux Falls,Minnehaha,57105,US/Central,Calm,Scattered Clouds,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,2/8/2017 5:19,2/8/2017 11:19,43.85789,-101.934849,43.859912,-101.939198,R,Kadoka,Jackson,57543,US/Mountain,North,Light Snow,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,2/20/2017 11:43,2/20/2017 17:43,43.71778,-98.7192,43.71691,-98.70847,R,White Lake,Aurora,57383,US/Central,NW,Light Rain,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/10/2020 7:37,10/10/2020 10:43,43.577293,-96.710359,43.576631,-96.710109,R,Sioux Falls,Minnehaha,57104,US/Central,NNE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/30/2020 4:14,9/30/2020 7:19,43.491263,-96.707673,43.492086,-96.707662,R,Sioux Falls,Lincoln,57108,US/Central,NW,Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/10/2020 2:28,10/10/2020 5:25,43.473632,-96.727514,43.474895,-96.727495,L,Sioux Falls,Lincoln,57108-8105,US/Central,NNE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/13/2020 23:18,9/14/2020 2:03,44.011423,-97.124221,44.012463,-97.124207,R,Madison,Lake,57042-1953,US/Central,ENE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/25/2020 22:30,9/26/2020 1:38,43.525304,-96.800911,43.522524,-96.800901,R,Sioux Falls,Minnehaha,57106-0665,US/Central,CALM,Partly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/20/2020 20:34,9/20/2020 21:56,43.513443,-96.771051,43.513022,-96.771049,R,Sioux Falls,Minnehaha,57106,US/Central,S,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/7/2020 14:01,10/7/2020 17:11,43.569406,-96.677981,43.583566,-96.664181,L,Sioux Falls,Minnehaha,57103,US/Central,N,Fair,F,F,T,F,F,F,T,F,F,F,F,F,F,D,D,D
2,10/8/2020 15:51,10/8/2020 17:13,43.514824,-96.789669,43.514823,-96.789923,R,Sioux Falls,Minnehaha,57106-2704,US/Central,SSE,Fair / Windy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/29/2020 17:55,9/29/2020 20:51,43.547893,-96.761134,43.549491,-96.761156,R,Sioux Falls,Minnehaha,57104-2530,US/Central,NNW,Mostly Cloudy,T,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/7/2020 4:08,10/7/2020 6:52,43.564133,-96.758726,43.563501,-96.737131,R,Sioux Falls,Minnehaha,57104,US/Central,CALM,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/1/2020 16:26,10/1/2020 19:40,43.561994,-96.786041,43.560234,-96.786015,R,Sioux Falls,Minnehaha,57107,US/Central,N,Partly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/10/2020 19:34,10/10/2020 22:43,43.514826,-96.783065,43.514828,-96.783346,R,Sioux Falls,Minnehaha,57106-0929,US/Central,ESE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,D
2,10/11/2020 4:14,10/11/2020 7:20,43.38216,-98.844662,43.383163,-98.844667,R,Platte,Charles Mix,57369,US/Central,SE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/23/2020 23:35,9/24/2020 2:19,43.551038,-96.693903,43.544188,-96.694113,R,Sioux Falls,Minnehaha,57103,US/Central,SSW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/12/2020 12:30,10/12/2020 13:51,43.556243,-96.711398,43.556898,-96.711401,L,Sioux Falls,Minnehaha,57103-0127,US/Central,SW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/23/2020 16:41,10/24/2020 6:59,44.370595,-98.229414,44.371521,-98.255025,R,Huron,Beadle,57350,US/Central,NW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/25/2020 22:54,9/26/2020 1:41,43.385187,-98.843312,43.385185,-98.841954,R,Platte,Charles Mix,57369,US/Central,CALM,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/10/2020 16:10,10/10/2020 22:41,43.51486,-96.74229,43.51486,-96.75106,L,Sioux Falls,Minnehaha,57105-5523,US/Central,SE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
4,10/23/2020 16:41,10/24/2020 6:59,44.372038,-98.234383,44.370767,-98.229404,R,Huron,Beadle,57350,US/Central,NW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/10/2020 11:30,10/10/2020 14:25,43.390648,-97.98868,43.391638,-97.988614,R,Parkston,Hutchinson,57366,US/Central,SE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/10/2020 20:35,9/10/2020 23:35,43.530002,-96.780651,43.525402,-96.780669,R,Sioux Falls,Minnehaha,57106,US/Central,ESE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,D
2,9/25/2020 20:59,9/25/2020 23:50,43.38719,-98.843893,43.387197,-98.844782,L,Platte,Charles Mix,57369-2027,US/Central,CALM,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/12/2020 1:50,10/12/2020 4:59,43.525081,-96.774482,43.517628,-96.771105,L,Sioux Falls,Minnehaha,57106,US/Central,W,Rain,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,9/24/2020 1:12,9/24/2020 4:22,43.508164,-96.771038,43.50759,-96.771047,L,Sioux Falls,Minnehaha,57106-2302,US/Central,WSW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/28/2020 15:27,9/28/2020 18:33,43.540325,-96.671478,43.538394,-96.671471,L,Sioux Falls,Minnehaha,57110-3104,US/Central,NW,Cloudy / Windy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/25/2020 23:56,9/26/2020 3:05,43.250441,-98.702539,43.251481,-98.702541,R,Geddes,Charles Mix,57342,US/Central,CALM,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,11/10/2020 23:13,11/11/2020 0:49,43.609253,-96.799646,43.609003,-96.883476,R,Sioux Falls,Minnehaha,57107,US/Central,SSW,Fog,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/26/2020 10:44,9/26/2020 13:56,43.494256,-96.756004,43.492696,-96.756685,R,Sioux Falls,Lincoln,57108-5050,US/Central,E,Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/10/2020 23:39,10/11/2020 1:01,43.517865,-96.711257,43.520305,-96.711271,R,Sioux Falls,Minnehaha,57105,US/Central,ESE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/26/2020 20:39,9/26/2020 23:38,43.546655,-96.692682,43.546663,-96.692341,R,Sioux Falls,Minnehaha,57103-2020,US/Central,NW,Mostly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/12/2020 6:56,10/12/2020 13:00,43.528225,-96.647611,43.52777,-96.647549,L,Sioux Falls,Minnehaha,57110,US/Central,WNW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,D
2,10/11/2020 16:41,10/11/2020 19:47,43.536683,-96.746251,43.536689,-96.747024,R,Sioux Falls,Minnehaha,57104,US/Central,S,Thunder / Windy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/9/2020 20:59,10/9/2020 23:55,43.536686,-96.741249,43.536679,-96.74207,R,Sioux Falls,Minnehaha,57104,US/Central,N,Fair,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,9/16/2020 1:31,9/16/2020 4:40,43.533072,-96.748755,43.533075,-96.749974,L,Sioux Falls,Minnehaha,57105-1424,US/Central,SSW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/28/2020 20:36,9/28/2020 23:42,43.543851,-96.773042,43.543859,-96.769969,L,Sioux Falls,Minnehaha,57106,US/Central,WNW,Partly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/11/2020 0:25,9/11/2020 3:32,43.546666,-96.706429,43.545777,-96.706429,L,Sioux Falls,Minnehaha,57103-1724,US/Central,E,Cloudy,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,9/10/2020 20:35,9/10/2020 23:35,43.523561,-96.780267,43.525395,-96.780271,R,Sioux Falls,Minnehaha,57106,US/Central,ESE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,D
2,9/25/2020 23:19,9/26/2020 2:11,43.525176,-96.774322,43.525081,-96.774482,R,Sioux Falls,Minnehaha,57106-4337,US/Central,CALM,Partly Cloudy,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,10/23/2020 16:41,10/24/2020 6:59,44.372038,-98.234383,44.370767,-98.229404,R,Huron,Beadle,57350,US/Central,NW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/30/2020 16:32,9/30/2020 19:40,43.533971,-96.727544,43.533979,-96.728794,R,Sioux Falls,Minnehaha,57105-0740,US/Central,NW,Mostly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
4,10/23/2020 16:41,10/24/2020 6:59,44.370767,-98.229404,44.370595,-98.229414,R,Huron,Beadle,57350,US/Central,NW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/29/2020 23:10,9/30/2020 2:16,43.561112,-96.763724,43.560213,-96.764957,R,Sioux Falls,Minnehaha,57104,US/Central,WSW,Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/24/2020 22:37,9/25/2020 1:41,43.542469,-96.731309,43.541969,-96.731305,R,Sioux Falls,Minnehaha,57104,US/Central,E,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/15/2020 14:17,9/15/2020 16:40,43.503944,-96.791912,43.503921,-96.79297,R,Sioux Falls,Minnehaha,57106-1855,US/Central,SSW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/26/2020 22:07,9/26/2020 23:50,43.543917,-96.758406,43.543915,-96.759567,R,Sioux Falls,Minnehaha,57104-3813,US/Central,WNW,Mostly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/30/2020 4:21,9/30/2020 7:31,43.511799,-96.649417,43.509719,-96.649249,R,Sioux Falls,Minnehaha,57110-5411,US/Central,NW,Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/26/2020 21:29,9/27/2020 0:35,43.525081,-96.774482,43.520691,-96.771615,L,Sioux Falls,Minnehaha,57106,US/Central,WNW,Mostly Cloudy,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,10/8/2020 13:39,10/8/2020 16:46,43.514827,-96.778514,43.516447,-96.711296,L,Sioux Falls,Minnehaha,57106-0727,US/Central,ESE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/19/2020 18:24,9/19/2020 21:05,43.492599,-96.703783,43.492616,-96.707647,R,Sioux Falls,Lincoln,57108-4794,US/Central,S,Partly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/27/2020 23:44,9/28/2020 2:51,43.543897,-96.806339,43.54388,-96.807658,L,Sioux Falls,Minnehaha,57106,US/Central,NW,Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/16/2020 16:31,9/16/2020 19:37,43.52668,-96.719286,43.525761,-96.719265,R,Sioux Falls,Minnehaha,57105-3125,US/Central,N,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/12/2020 0:05,10/12/2020 2:59,44.008914,-97.105582,44.009954,-97.105555,L,Madison,Lake,57042-2340,US/Central,NW,Light Rain,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/8/2020 0:57,10/8/2020 3:57,43.580706,-96.791005,43.580172,-96.791003,R,Sioux Falls,Minnehaha,57107-0908,US/Central,CALM,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/11/2020 22:52,10/12/2020 1:59,43.52147,-96.830797,43.518386,-96.830811,R,Sioux Falls,Minnehaha,57106,US/Central,NW,Cloudy / Windy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/23/2020 23:55,9/24/2020 0:26,43.5281,-96.701434,43.5441,-96.693944,R,Sioux Falls,Minnehaha,57103,US/Central,SSW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/16/2020 1:23,9/16/2020 3:22,43.489487,-96.702683,43.48721,-96.702704,L,Sioux Falls,Lincoln,57108,US/Central,SW,Fair,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,9/22/2020 21:16,9/23/2020 0:10,43.482584,-96.768745,43.485608,-96.768769,R,Sioux Falls,Lincoln,57108,US/Central,S,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/2/2020 14:52,10/2/2020 17:55,43.514846,-96.80235,43.514838,-96.805018,L,Sioux Falls,Minnehaha,57106,US/Central,SW,Mostly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/25/2020 21:31,9/26/2020 0:38,43.514838,-96.784403,43.514817,-96.79095,R,Sioux Falls,Minnehaha,57106,US/Central,CALM,Partly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/24/2020 0:58,9/24/2020 3:46,43.518122,-96.77437,43.520497,-96.774589,L,Sioux Falls,Minnehaha,57106-0700,US/Central,WSW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/12/2020 16:22,10/12/2020 18:00,43.518003,-96.828016,43.518433,-96.828026,R,Sioux Falls,Minnehaha,57106,US/Central,WSW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/30/2020 16:14,9/30/2020 19:01,43.537561,-96.711343,43.536657,-96.711327,L,Sioux Falls,Minnehaha,57104-5324,US/Central,NNW,Partly Cloudy / Windy,F,F,F,F,F,F,F,F,F,F,F,T,F,D,D,D
2,9/28/2020 16:50,9/28/2020 19:45,44.017106,-97.10549,44.017089,-97.106919,R,Madison,Lake,57042,US/Central,NNW,Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/11/2020 9:23,10/11/2020 12:32,42.859611,-97.898401,42.859607,-97.896919,R,Springfield,Bon Homme,57062,US/Central,ESE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/23/2020 22:37,9/24/2020 1:40,43.547574,-96.671548,43.546672,-96.671539,L,Sioux Falls,Minnehaha,57110-1235,US/Central,CALM,Partly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/11/2020 18:01,10/11/2020 21:14,43.495876,-96.769609,43.49547,-96.769395,R,Sioux Falls,Lincoln,57108,US/Central,S,Mostly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/12/2020 14:39,10/12/2020 17:42,43.503418,-96.749261,43.503185,-96.749164,R,Sioux Falls,Minnehaha,57105,US/Central,W,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/11/2020 21:04,10/11/2020 22:47,43.545995,-96.731282,43.544685,-96.731292,L,Sioux Falls,Minnehaha,57104-6414,US/Central,NW,Mostly Cloudy,F,F,T,F,F,F,F,F,F,F,F,T,F,N,N,N
2,9/16/2020 3:56,9/16/2020 6:52,43.516696,-96.734997,43.514872,-96.73497,R,Sioux Falls,Minnehaha,57105-5643,US/Central,NNW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/13/2020 0:39,9/13/2020 3:48,43.516686,-96.737469,43.514867,-96.737452,R,Sioux Falls,Minnehaha,57105-5614,US/Central,WSW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/9/2020 3:55,10/9/2020 7:04,43.601992,-96.791094,43.601989,-96.790919,R,Sioux Falls,Minnehaha,57107,US/Central,S,Fair,F,F,T,F,F,F,F,F,F,F,F,T,F,N,N,N
4,11/6/2020 16:18,11/6/2020 20:00,44.368494,-97.72031,44.368502,-97.732423,R,Iroquois,Kingsbury,57353,US/Central,S,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/27/2020 23:49,9/28/2020 2:57,43.514084,-96.741171,43.513028,-96.738414,R,Sioux Falls,Minnehaha,57105,US/Central,NW,Cloudy,F,F,F,F,F,F,F,F,F,T,F,F,F,N,N,N
2,9/25/2020 0:22,9/25/2020 2:14,43.514824,-96.781366,43.514807,-96.7806,R,Sioux Falls,Minnehaha,57106-0929,US/Central,SE,Fair,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,9/18/2020 15:12,9/18/2020 18:11,43.555154,-96.751275,43.554223,-96.751269,R,Sioux Falls,Minnehaha,57104,US/Central,SE,Partly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/11/2020 23:08,10/12/2020 2:14,43.544025,-96.765904,43.544027,-96.766611,R,Sioux Falls,Minnehaha,57104,US/Central,NW,Cloudy / Windy,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,9/21/2020 18:00,9/21/2020 20:57,43.381158,-98.844824,43.380156,-98.844806,L,Platte,Charles Mix,57369,US/Central,ESE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/10/2020 20:38,10/10/2020 23:28,43.514853,-96.754858,43.514843,-96.756069,R,Sioux Falls,Minnehaha,57105-5315,US/Central,SE,Fair,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,10/2/2020 20:17,10/2/2020 22:52,43.540291,-96.76116,43.539177,-96.761164,R,Sioux Falls,Minnehaha,57104,US/Central,ENE,Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/28/2020 1:54,9/28/2020 5:00,43.516708,-96.73128,43.507991,-96.731266,L,Sioux Falls,Minnehaha,57105-5711,US/Central,NW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/14/2020 1:05,9/14/2020 3:30,43.525176,-96.774322,43.526186,-96.776074,R,Sioux Falls,Minnehaha,57106-4337,US/Central,CALM,Fair,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,9/28/2020 21:58,9/29/2020 0:57,43.500362,-96.751595,43.500357,-96.752849,L,Sioux Falls,Lincoln,57108,US/Central,NW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/10/2020 18:33,9/10/2020 21:17,43.500348,-96.745285,43.500366,-96.74789,L,Sioux Falls,Lincoln,57108-2875,US/Central,SE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/7/2020 14:22,10/7/2020 17:26,43.534831,-96.711303,43.550329,-96.711421,R,Sioux Falls,Minnehaha,57105-1005,US/Central,N,Fair,F,F,T,F,F,F,T,F,F,F,F,T,F,D,D,D
2,9/28/2020 13:57,9/28/2020 17:03,43.551207,-96.682686,43.551207,-96.683741,L,Sioux Falls,Minnehaha,57103-1173,US/Central,NNW,Mostly Cloudy / Windy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/7/2020 14:17,10/7/2020 17:14,43.535412,-96.692704,43.535042,-96.692705,R,Sioux Falls,Minnehaha,57103-3215,US/Central,N,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
